agent_id,aesthetic_score,complexity,symmetry,glitch_factor,entropy_level,mantra_len,has_tag
1,0.5804863997494826,0.8953742188819905,8,0.0,0.190188702252959,87,1
2,0.6216655885957826,1.0,6,0.4500215614176811,0.0803074990248578,90,1
3,0.4866048709124603,1.0,7,0.3929025817507925,0.1543130999292744,94,1
4,0.4950989316461177,1.0,7,0.2230213670776458,0.1349505984813002,86,1
5,0.4934647651317632,1.0,8,0.2973713640314026,0.198985764522339,92,1
6,0.6264198865716795,0.730156167427928,6,0.483503186374969,0.2100700165682908,50,0
7,0.5590795266438066,1.0,4,0.5517428004572013,0.1016248124314648,58,0
8,0.6176659334285758,0.9517659910132332,5,0.4159969846149992,0.0,78,1
9,0.6253310164758659,0.932171592992588,7,0.3166370599715628,0.1432513083505266,83,1
10,0.5092097789310942,0.9747816915927524,5,0.2056588718508853,0.1461834964619498,72,1
11,0.4984373467890852,1.0,8,0.1979197308849613,0.2395213091666439,81,1
12,0.5022193805669092,0.8907028520032341,9,0.0,0.1061849618348632,65,1
13,0.4976186334578037,1.0,8,0.2142939975105902,0.0664543434712124,74,1
14,0.5041021927923348,1.0,9,0.1262894774866357,0.118597526973935,83,1
15,0.494363074073148,0.989700290378922,7,0.2222889541054215,0.0635682723736671,98,1
16,0.4911771484402193,0.8737168605781025,7,0.1120323220627663,0.1251628104436412,83,1
17,0.6399131256924266,0.9874205113800456,8,0.149534919888201,0.0890709213649387,89,1
18,0.7133006907689237,1.0,9,0.3423195179548574,0.0,86,1
19,0.4962397256705241,1.0,6,0.1585388199228509,0.1320849921640083,78,1
20,0.4927251108590988,1.0,5,0.1871644494846899,0.1162285295208501,92,1
21,0.6395471323156624,0.9386187340583988,9,0.125318788107682,0.0934677495392142,80,1
22,0.1940666273226006,0.5,6,0.0,0.0,87,0
23,0.4305488279739021,0.5,6,0.0,0.0,57,0
24,0.4884885240220353,1.0,8,0.3968961862259589,0.1228793523544503,124,1
25,0.5076757256543193,1.0,8,0.0131521535802811,0.0,84,1
26,0.4990917539155004,1.0,9,0.2264982550233241,0.1746766063353726,82,1
27,0.175,0.5,6,0.0,0.0,52,0
28,0.6450248179904218,1.0,9,0.1078369735248981,0.1315678870409659,98,1
29,0.3616666666666667,0.5,6,0.0,0.0,74,1
30,0.3083333333333333,0.5,6,0.0,0.0,59,0
31,0.2283333333333333,0.5,6,0.0,0.0,79,1
32,0.3781243389050578,0.5,6,0.0,0.0,43,1
33,0.2283333333333333,0.5,6,0.0,0.0,89,1
34,0.3230637138398773,0.5,6,0.0,0.0,39,0
35,0.1906070689523059,0.5,6,0.0,0.0,56,0
36,0.3616666666666667,0.5,6,0.0,0.0,68,1
37,0.4133333333333333,0.5,6,0.0,0.0,55,0
38,0.1912384011458853,0.5,6,0.0,0.0,85,0
39,0.3083333333333333,0.5,6,0.0,0.0,80,0
40,0.175,0.5,6,0.0,0.0,52,0
41,0.175,0.5,6,0.0,0.0,73,0
42,0.4820397198517261,0.99639238787838,6,0.4371275181163806,0.0,78,1
43,0.501161022873547,1.0,8,0.4751401137613629,0.0,77,1
44,0.4826509741953077,0.9939886198642828,4,0.3379634458902687,0.0,96,1
45,0.4924157409858877,0.9308394078751996,8,0.2146109587617108,0.183324467115469,81,1
46,0.5027701006078389,1.0,9,0.1529313211765565,0.0381285052330673,86,1
47,0.4133333333333333,0.5,6,0.0,0.0,69,0
48,0.4894598930843923,0.9351984928232464,6,0.1969332108803555,0.0,76,1
49,0.4133333333333333,0.5,6,0.0,0.0,99,0
50,0.6229774027391805,0.8609408138748138,8,0.2985298326952773,0.1167588607540464,87,1
51,0.4986570379323863,0.8813832734155939,8,0.0156008181423297,0.1474057043002026,76,1
52,0.5669110455903359,0.8138503956584802,6,0.1992213483476693,0.1592723188630677,54,0
53,0.4905638750899419,0.9002710385528411,7,0.1641290560304224,0.0479707373837353,75,1
54,0.5779318156858808,0.965822556360124,5,0.1650975208225686,0.400375550470599,61,0
55,0.6301564013324684,0.973790080209598,9,0.3658904269983619,0.0347080332146227,79,1
56,0.3616666666666667,0.5,6,0.0,0.0,65,1
57,0.5185196512761603,1.0,9,0.280344341120826,0.2332810462966213,64,1
58,0.5196618540296787,0.9706806280023886,8,0.2627838614100098,0.0,62,0
59,0.2283333333333333,0.5,6,0.0,0.0,89,1
60,0.2955565056002012,0.5,6,0.0,0.0,90,0
61,0.3333333333333333,0.5,6,0.0,0.0,83,1
62,0.376591267390662,0.5,6,0.0,0.0,62,1
63,0.2283333333333333,0.5,6,0.0,0.0,78,1
64,0.175,0.5,6,0.0,0.0,74,0
65,0.4133333333333333,0.5,6,0.0,0.0,44,0
66,0.175,0.5,6,0.0,0.0,70,0
67,0.5014179700033028,1.0,6,0.0549739332672761,0.2066329390868876,76,1
68,0.6236864948452965,0.9451020872735194,6,0.3272565673376813,0.0,79,1
69,0.2283333333333333,0.5,6,0.0,0.0,60,1
70,0.6431217861574903,0.9905844513710692,7,0.0484409539067976,0.0417401229837683,85,1
71,0.622846492309562,0.8045077294431775,9,0.2581650813068604,0.185371071771163,84,1
72,0.5050894231536934,1.0,9,0.1065448702594644,0.0065143377861698,83,1
73,0.5125,1.0,10,0.0,0.1920059944628872,68,1
74,0.4866043094485519,0.9726105829436058,6,0.3101630187777019,0.0762694516503175,90,1
75,0.4888728916868556,1.0,8,0.3892088329295526,0.1570410521470854,84,1
76,0.4483333333333333,0.5,6,0.0,0.0,52,0
77,0.504339407485036,1.0,7,0.0382118502992795,0.2121876014770125,75,1
78,0.175,0.5,6,0.0,0.0,80,0
79,0.4666666666666667,0.5,6,0.0,0.0,73,1
80,0.255,0.5,6,0.0,0.0,91,0
81,0.28,0.5,6,0.0,0.0,70,0
82,0.3616666666666667,0.5,6,0.0,0.0,65,1
83,0.4905184120294197,1.0,7,0.3146317594116061,0.0075774628798159,81,1
84,0.28,0.5,6,0.0,0.0,82,0
85,0.4987031799327417,1.0,10,0.2759364013451658,0.0500370860476143,85,1
86,0.3083333333333333,0.5,6,0.0,0.0,80,0
87,0.5069534441948709,0.9623987121216512,10,0.0545291842850598,0.0551834764054143,101,1
88,0.49764467378094,0.9387041545802703,8,0.1218294229182707,0.2111167427655599,78,1
89,0.5088852461146107,1.0,9,0.0306284110411196,0.006993360309359,81,1
90,0.4908413096656715,1.0,7,0.3081738066865693,0.060953991317996,64,1
91,0.4963031263316161,1.0,6,0.1572708067010109,0.2436005611596518,66,1
92,0.5897442461229467,1.0,8,0.1051150775410648,0.1237745495317945,61,0
93,0.4994358547191348,0.9736866343321556,9,0.1801461904488698,0.0442677232681053,76,1
94,0.5198506492804564,1.0,9,0.3954568760865634,0.040620629463306,62,1
95,0.175,0.5,6,0.0,0.0,94,0
96,0.4921488302372816,1.0,5,0.198690061921033,0.162661136346405,86,1
97,0.4838415560248552,0.5,6,0.0,0.0,43,1
98,0.6332431741829542,1.0,6,0.2184698496742504,0.1617052826542208,79,1
99,0.4746636385395993,0.8208964546810772,7,0.3630719112296289,0.0,88,1
100,0.626037937184484,1.0,8,0.4459079229769871,0.2741491061328809,78,1
101,0.3616666666666667,0.5,6,0.0,0.0,64,1
102,0.4898629246573421,0.9899620295355392,7,0.3126845511564654,0.2781090585033856,83,1
